"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"100";"Janicki, Ryszard R";"Department Computing and Software";"McMaster";"RGPIN";"Concurrency theory, non-numerical approximation and mereology";"5";"$20,000.00";20000
"101";"Jenkin, Michael MRM";"Department Computer Science and Engineering";"York";"EQPEQ";"Virtual reality display renewal";"1";"$41,289.00";41289
"102";"Joslin, Christopher CJJ";"Department Information Technology, School of";"Carleton";"RGPIN";"Adaptation of dynamically generated content";"5";"$20,000.00";20000
"103";"Jourdan, Guy-Vincent G-V";"Department Engineering, Faculty of";"Ottawa";"RGPIN";"Applied formal testing";"5";"$20,000.00";20000
"104";"Kamel, Mohamed MS";"Department Electrical & Computer Engineering";"Waterloo";"RGPIN";"Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms";"5";"$34,000.00";34000
"105";"Kapron, Bruce BM";"Department Computer Science";"Victoria";"RGPIN";"Computational and logical foundations of privacy and security";"1";"$15,000.00";15000
"106";"Karmouch, Ahmed A";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Service composition oriented self-management for autonomic networks";"5";"$43,000.00";43000
"107";"Khendek, Ferhat F";"Department Electrical and Computer Engineering";"Concordia";"RGPIN";"Model driven real-time software systems engineering";"5";"$31,000.00";31000
"108";"Kherfi, Mohammed Lamine ML";"Department Mathematiques et informatique";"Quebec a Trois-Rivieres";"RGPIN";"Recherche et indexation de documents visuels: vers des systemes qui se configurent automatiquement";"5";"$15,000.00";15000
"109";"Kim, Theodore TW";"Department Computer Science";"Saskatchewan";"RGPIN";"Many-core physically based simulations";"5";"$25,000.00";25000
"110";"Kosseim, Leila L";"Department Computer Science and Software Engineering";"Concordia";"EQPEQ";"Competitive environment for today's terabyte-level document collections";"1";"$77,870.00";77870
"111";"Koudas, Nick N";"Department Computer Science";"Toronto";"RGPIN";"Processing queries on text streams";"5";"$34,000.00";34000
"112";"Kruchten, Philippe P";"Department Applied Science, Faculty of";"British Columbia";"RGPIN";"Software architecture knowledge management";"5";"$25,000.00";25000
"113";"Krzyzak, Adam A";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Nonparametric estimation and learning with applications to object recognition and image analysis";"5";"$43,000.00";43000
"114";"Ktari, Bechir B";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"Cadre algebrique pour l'analyse de programmes informatiques";"5";"$15,000.00";15000
"115";"Labahn, George G";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Symbolic computation of matrices of operators and related topics";"5";"$51,000.00";51000
"116";"Lam, Patrick P";"Department Electrical & Computer Engineering";"Waterloo";"EQPEQ";"embedded systems lab";"1";"$66,779.00";66779
"117";"Langlais, Philippe P";"Department Informatique et recherche operationnelle";"Montreal";"EQPEQ";"A server for NLP applications at RALI";"1";"$30,731.00";30731
"118";"Lea, Rodger J";"Department Graduate Studies, Faculty of";"British Columbia";"RGPIN";"Large scale ubiquitous computing infrastructure";"5";"$20,000.00";20000
"119";"Lesperance, Yves Y";"Department Computer Science and Engineering";"York";"RGPIN";"Designing rational agents that can work with others";"5";"$20,000.00";20000
"120";"Leung, Debbie DW";"Department Combinatorics and Optimization";"Waterloo";"RGPIN";"Quantum communication theory";"5";"$51,000.00";51000
"121";"Li, Ze-Nian ZN";"Department Computing Science";"Simon Fraser";"RGPIN";"Digital video analysis based on contexts";"5";"$31,000.00";31000
