"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Rueda, LG";"Computer Science, School of";"Windsor";"RGPIN";"Efficient linear dimensionality reduction and optimal multi-dimensional clustering";"5";24000;2009
"Ruskey, F";"Computer Science";"Victoria";"RGPIN";"Efficient algorithms for sequencing, counting, manipulating and visualizating discrete structures";"5";30000;2009
"Salvail, L";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Two-party quantum cryptography";"5";24000;2009
"Shatkay, H";"Computing, School of";"Queen's";"RGPIN";"Translating data into knowledge: From biomedical sequences and text to disease prediction and prevention";"5";35000;2009
"Silver, DL";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Inductive transfer and machine life-long learning";"5";24000;2009
"Solis-Oba, R";"Computer Science";"Western Ontario";"RGPIN";"Approximation algorithms for packing and network problems";"5";24000;2009
"Soutchanski, ME";"Computer Science";"Ryerson";"RGPIN";"Modular and taxonomic representations for tractable reasoning about actions";"5";19000;2009
"Stacey, DA";"Computing and Information Science";"Guelph";"RGPIN";"Semantic web framework for software system design, testing and maintenance for syndromic surveillance applications";"1";15000;2009
"Stewart, JAR";"Computing, School of";"Queen's";"RGPIN";"Visualization and interfaces for computer-assisted surgery";"5";19000;2009
"Sutton, RS";"Computing Science";"Alberta";"RGPIN";"Reinforcement learning and artificial intelligence";"5";38000;2009
"Swamy, C";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Algorithm design in game-theoretic environments and settings with uncertainty";"5";30000;2009
"Tardos, G";"Computing Science";"Simon Fraser";"RGPIN";"Complexity issues in geometric and combinatorial arrangements";"5";35000;2009
"Therien, D";"Computer Science, School of";"McGill";"RGPIN";"An algebraic approach to computational complexity";"5";35000;2009
"Tory, MK";"Computer Science";"Victoria";"RGPIN";"Empirical examination of design issues in multidimensional visualization";"5";35000;2009
"Toussaint, GT";"Computer Science, School of";"McGill";"RGPIN";"Computational geometry for polygonal reconfiguration, pattern analysis and recognition and music information retrieval";"5";30000;2009
"Trummer, MR";"Mathematics";"Simon Fraser";"RGPIN";"Computational methods in medical imaging";"5";19000;2009
"Tsin, YH";"Computer Science, School of";"Windsor";"RGPIN";"Efficient algorithms for graph connectivity and related problems";"5";19000;2009
"Tsotsos, JK";"Computer Science and Engineering";"York";"RGPIN";"Active vision, visual attention, and their application";"2";40000;2009
"Watrous, JH";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Interaction and entanglement in quantum information and computation";"5";35000;2009
"Yang, H";"Computing Science";"Alberta";"RGPIN";"Static and dynamic image analysis and synthesis";"5";42000;2009
"Zemel, RS";"Computer Science";"Toronto";"RGPIN";"Machine learning for image understanding and user modelling";"5";50000;2009
"Ziou, D";"Informatique";"Sherbrooke";"RGPIN";"Gestion par le contenu de larges collections de documents visuels";"5";40000;2009
"Abdelrahman, Tarek TS";"Electrical and Computer Engineering, Edward S. Rogers Sr.";"Toronto";"RGPIN";"Compiler support for GPU application accelerators";"5";"$31,000.00";31000;2010
"Abdi, Samar S";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Design of multi-core embedded systems using transaction level models";"5";"$25,000.00";25000;2010
"Adams, Bram BM";"Computing, School of";"Queen's";"RGPIN";"Empirically Studying and Improving the Co-Evolution of Source Code and Build System";"5";"$15,000.00";15000;2010
"Akl, Selim SG";"Computing and Information Science";"Queen's";"RGPIN";"Parallel models of computation and algorithms";"5";"$31,000.00";31000;2010
"Alagar, Vangalur VS";"Computer Science and Software Engineering";"Concordia";"RGPIN";"A framework for the development of a family of trustworthy systems";"5";"$20,000.00";20000;2010
"Allison, Robert RS";"Computer Science and Engineering";"York";"RGPIN";"Stereoscopic surface perception in real and virtual environments";"5";"$34,000.00";34000;2010
"Amaral, Jose JN";"Computing Science";"Alberta";"RGPIN";"Automatically exploring parameter space for code transformations in compilers";"5";"$31,000.00";31000;2010
"Aravind, Alex Alagarsamy AA";"Computer Science";"Northern British Columbia";"RGPIN";"Development and performance study of synchronization algorithms";"5";"$15,000.00";15000;2010
"Arbel, Tal T";"Electrical and Computer Engineering";"McGill";"RGPIN";"Probabilistic inference in computer vision and medical imaging";"5";"$43,000.00";43000;2010
"Atkins, Stella MS";"Computing Science";"Simon Fraser";"RGPIN";"Medical image display and analysis for diagnosis and treatment";"5";"$43,000.00";43000;2010
"Auclair-Fortier, Marie-Flavie MF";"Informatique";"Sherbrooke";"RGPIN";"Vision panoramique pour la modelisation d'environments virtuels realistes";"5";"$20,000.00";20000;2010
"Aycock, John JD";"Computer Science";"Calgary";"RGPIN";"Proactive identification of computer security threats";"5";"$15,000.00";15000;2010
"Baecker, Ronald RM";"Computer Science";"Toronto";"RGPIN";"Assistive technology for cognition and communication";"5";"$34,000.00";34000;2010
"Bagheri, Ebrahim E";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Quality engineering for software product lines";"5";"$18,000.00";18000;2010
"Baranoski, Gladimir GVG";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"A framework for the in silico modeling and investigation of time dependent photobiophysical phenomena";"5";"$20,000.00";20000;2010
"Bauer, Michael MA";"Computer Science";"Western Ontario";"RGPIN";"Discovering foundations and methods for autonomic computing";"5";"$31,000.00";31000;2010
