"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Tappenden, Andrew AF";"Computing Science";"King's University College";"RGPIN";"Automated Testing of Web Services and Service-Oriented Computing";"5";19000;2012
"Toman, David D";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Ontology-based Data Access";"5";28000;2012
"Trappenberg, Thomas TP";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Integrated learning systems that anticipate";"5";14000;2012
"Trefler, Richard RJ";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Reactive Program Analysis From The Ground Up";"5";17000;2012
"Tremblay, Guy G";"Informatique";"Quebec a Montreal";"RGPIN";"Protocoles de comportement pour composants et services";"5";14000;2012
"Tzanetakis, George G";"Computer Science";"Victoria";"RGPIN";"Time Information for Multimedia Processing and Analysis";"5";28000;2012
"van Beek, Peter P G";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Constraint Programming for Probabilistic Reasoning and Compiler Optimization";"5";28000;2012
"Veksler, Olga O";"Computer Science";"Western Ontario";"RGPIN";"Energy Minimization Approach to Pixel Labeling Problems in Computer Vision";"5";42000;2012
"Verbrugge, Clark L";"Computer Science, School of";"McGill";"RGPIN";"Optimizations and Designs for Practical Improvements to Program Performance on Multicore Systems";"5";28000;2012
"Vetta, Adrian R";"Mathematics and Statistics";"McGill";"RGPIN";"Computation in Games and Networks";"5";42000;2012
"Wang, Lingyu LW";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"A Vulnerability-Centric Approach to Network Security Metrics";"5";22000;2012
"Ward, Paul PAS";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Scalable Self-Healing Systems";"5";22000;2012
"Warfield, Andrew AK";"Computer Science";"British Columbia";"RGPIN";"Stability, Security, and Privacy in Large-Scale Information Systems";"5";34000;2012
"Wassyng, Alan A";"Computing and Software";"McMaster";"RGPIN";"Structuring Assurance Cases to Facilitate Effective Certification of Medical Devices";"5";22000;2012
"Watt, Stephen SM";"Computer Science";"Western Ontario";"RGPIN";"Computer Algebra Domains and Interfaces";"5";34000;2012
"White, Anthony ARP";"Computer Science, School of";"Carleton";"RGPIN";"The Application and Analysis of Social Structures in Trust, Influence and Search Problems in Agent Societies";"5";14000;2012
"Wildes, Richard R";"Computer Science and Engineering";"York";"RGPIN";"Early Representation and Analysis of Visual Spacetime";"5";22000;2012
"Winter, Horst Michael HM";"Computer Science";"Brock";"RGPIN";"Relational Methods in Software Development";"5";14000;2012
"Wong, Andrew AK";"Systems Design Engineering";"Waterloo";"RGPIN";"Pattern Discovery and Analysis for Mixed-Mode Data and Sequences: Theory and Applications";"5";22000;2012
"Wong, Bernard B";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Performance Isolation in Shared Cloud-based Storage Systems";"5";19000;2012
"Woodham, Robert RJ";"Computer Science";"British Columbia";"RGPIN";"Analysis and Interpretation of Visual Motion";"5";14000;2012
"Yan, Yuhong Y";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Automatic Integration of Service Oriented Systems";"5";17000;2012
"Yao, JingTao JT";"Computer Science";"Regina";"RGPIN";"Machine Learning Methods for Multi-criteria Decision Making";"5";14000;2012
"Yao, Yiyu YY";"Computer Science";"Regina";"RGPIN";"Granular Computing and Its Applications in Information Retrieval Support Systems";"5";28000;2012
"Yu, Xiaohui X";"Information Technology, School of";"York";"RGPIN";"Supporting Keyword Search over Structured Data";"5";22000;2012
"Yuan, Xiaobu XY";"Computer Science, School of";"Windsor";"RGPIN";"A Study of Collaborative Planning and Its Application in Software Customization";"5";14000;2012
"Zaïane, Osmar OR";"Computing Science";"Alberta";"RGPIN";"Bolstering pattern mining by taking into account relationships and uncertainty in data";"5";22000;2012
"Zeh, Norbert R";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Algorithms and data structures for memory hierarchies";"5";28000;2012
"Zhang, Huajie H";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Transfer learning for Bayesian networks";"5";17000;2012
"Zhao, Jiying J";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Advanced Keying, Compression and Watermarking of 3D Video Signals";"5";22000;2012
"Zhu, Haibin H";"Computer Science";"Nipissing";"RGPIN";"Online Auction-Based Scheduling of Health Care Services for Outpatients";"1";14000;2012
"Zima, Evgueni EV";"Physics and Computer Science";"Wilfrid Laurier";"RGPIN";"Alternative algorithms for accelerated symbolic and numeric summation";"5";17000;2012
"Zincir-Heywood, Nur A N";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Mission Aware Data Analysis";"5";28000;2012
"Zou, Ying Y";"Electrical and Computer Engineering";"Queen's";"RGPIN";"Managing the Co-Evolution of Software Applications with Business Requirements";"5";34000;2012
"ABIDI, SYED SIBTE RAZA SSR";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"An Agile Semantic Web Platform for Knowledge-Centric Decision Support";"5";15000;2013
"Aboulnaga, Ashraf AI";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Systems and Algorithms for Big Data Analytics";"5";25000;2013
"Aimeur, Esma E";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Learning in the age of exposure";"5";30000;2013
"AIT MOHAMED, Otmane O";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Verification Framework and Tools for Highly Reliable Cyber-Physical Systems";"5";20000;2013
"Alhajj, Reda RA";"Computer Science";"Calgary";"RGPIN";"Effective and Efficient Data Analysis Techniques for Emerging Data Intensive Applications";"5";15000;2013
"Alim, Usman UR";"Computer Science";"Calgary";"RGPIN";"Approximation of Divergence-free Vector Fields on Regular Lattices";"5";20000;2013
"Almhana, Jalal JA";"Informatique";"Moncton";"RGPIN";"Modelling and Optimising Cognitive Radio Networks";"5";15000;2013
"AMAR BENSABER, BOUCIF B";"Mathematiques et informatique";"Quebec a Trois-Rivieres";"RGPIN";"Conception et developpement de nouveaux protocoles de securite pour les reseaux ad hoc vehiculaires intelligents (VANETs).";"5";15000;2013
"Amyot, Daniel D";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Goal and Aspect-oriented Business Process Engineering (GAoBPE)";"5";30000;2013
"Ashlock, Daniel DAA";"Mathematics and Statistics";"Guelph";"RGPIN";"Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.";"5";20000;2013
"Azevedo, Roger R";"Educational/Counselling Psychology";"McGill";"RGPIN";"Affectively-Responsive Multi-Agent Adaptive Learning Environments";"5";30000;2013
"Baljko, Melanie MA";"Computer Science and Engineering";"York";"RGPIN";"Embodied Interaction Design for Articulation Elicitation and Feedback";"5";15000;2013
"Bandyopadhyay, Subir S";"Computer Science, School of";"Windsor";"RGPIN";"Optimal design of optical WDM networks";"5";15000;2013
"Barbosa, Denilson DM";"Computing Science";"Alberta";"RGPIN";"Robust and Scalable Knowledge Extraction from the Web";"5";30000;2013
"Beaudry, Martin M";"Sciences, Faculte des";"Sherbrooke";"RGPIN";"Langages formels, algebres finies et automates.";"5";20000;2013
"Bellec, Pierre PL";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Data mining in large functional neuroimaging databases";"5";15000;2013
"Ben Hamza, Abdessamad A";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"A spectral geometric framework for 3D shape analysis and applications";"5";20000;2013
"Benyoucef, Morad F";"Telfer School of Management";"Ottawa";"RGPIN";"Enabling Social Commerce - A New Form of E-commerce that Leverages Social Ties Between Users";"5";15000;2013
"Blondin Masse, Alexandre A";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Modeles combinatoires pour la representation et l'encodage de figures discretes";"5";20000;2013
"Blustein, William James WJ";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Finding and Using Information in e-Documents";"5";15000;2013
"Boulanger, Pierre PB";"Computing Science";"Alberta";"RGPIN";"Skill Transfer and Evaluation of Minimally Invasive Surgery Procedures Using Visuo-haptic Communication";"5";25000;2013
"Boutilier, Craig E";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Computational Preference Assessment and Optimization for Group Decision Support";"5";66000;2013
"Boyd, Jeffrey E";"Computer Science";"Calgary";"RGPIN";"Vision and Sensing of Human Motion for Athletes and Artists";"5";15000;2013
"Boyd, Sylvia S";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Applying Methods from Combinatorial Optimization in Solving Large-Scale Real World Problems";"5";25000;2013
"Bradbury, Jeremy JS";"Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Testing and analysis of concurrent and heterogeneous computing software";"5";15000;2013
"Bridson, Robert RE";"Computer Science";"British Columbia";"RGPIN";"Numerical and Geometric Algorithms for Virtual Practical Effects";"5";62000;2013
"Brlek, Srecko S";"Informatique";"Quebec a Montreal";"RGPIN";"Combinatorics on words and digital geometry";"5";25000;2013
"Bruce, Neil NDB";"Computer Science";"Manitoba";"RGPIN";"Computational Modeling and Analysis of Human Gaze Behavior";"5";20000;2013
"Chaib-draa, Brahim B";"Informatique et de genie logiciel";"Laval";"RGPIN";"Uncertainty, Action & Interaction: in Pursuit of Cognitive Information Processing";"5";30000;2013
"Chiang, Fei Yen FY";"Computing and Software";"McMaster";"RGPIN";"Improving Data Quality in Protected and Dynamic Data Environments";"5";20000;2013
"Chignell, Mark H";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Confidential Reasoning about Data Using Abstract Types as Meaningful Proxies";"5";25000;2013
"Childs, Andrew AM";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Algorithms for quantum computers";"5";44000;2013
"Cleve, Richard RE";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Quantum information and complexity theory";"5";36000;2013
"Consens, Mariano MP";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Managing Linked Data in the Cloud";"5";25000;2013
"Courville, Aaron C";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Probabilistic Models for Automatic Equivariant Feature Discovery";"5";15000;2013
"Daley, Mark MJ";"Computer Science";"Western Ontario";"RGPIN";"Natural computation in the mesoscale dynamics of the brain";"5";30000;2013
"De Sterck, Hans HJM";"Applied Mathematics";"Waterloo";"RGPIN";"Multilevel Algorithms for Tensor and Network Problems";"5";36000;2013
"Derpanis, Konstantinos K";"Computer Science";"Ryerson";"RGPIN";"Spatiotemporal Models for Analyzing and Understanding Video";"5";20000;2013
"Dudek, Gregory L";"Computer Science, School of";"McGill";"RGPIN";"Multi-agent robotic interaction";"1";30000;2013
"Dymond, Patrick PW";"Computer Science and Engineering";"York";"RGPIN";"Searching, algorithms and complexity";"5";15000;2013
"Eavis, Todd J";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Business Intelligence and Analytics in the Elastic Cloud";"5";15000;2013
"El Saddik, Abdulmotaleb AE";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Towards innovative methods for multimodal interactions with advanced media and serious gaming";"5";36000;2013
"El-Mabrouk, Nadia NS";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Evolution of Genome Organization";"5";36000;2013
"Faloutsos, Petros P";"Computer Science and Engineering";"York";"RGPIN";"Authoring and Analyzing Crowd Simulations";"5";25000;2013
"Farzad, Babak B";"Mathematics";"Brock";"RGPIN";"Algorithmic and Computational Graph Theory and Game Theory";"5";15000;2013
"Fernandez, Jose Manuel JM";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Evaluating the risk reduction value of security products against mass market cyber crime";"5";20000;2013
"Fischmeister, Sebastian SN";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Rigorous Empirical Performance Analysis of Embedded Systems";"5";36000;2013
"Fleming, Michael MW";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Modeling user preferences in the design of decision-making agents";"5";15000;2013
"Fournier-Viger, Philippe P";"Informatique";"Moncton";"RGPIN";"Algorithms, data structures and visualization for sequence analysis and prediction";"5";20000;2013
"Frey, Brendan BJ";"Electrical & Computer Engineering";"Toronto";"RGPIN";"A Unified Computational Model of Gene Regulation";"5";52000;2013
"Friedlander, Michael MP";"Computer Science";"British Columbia";"RGPIN";"Large-scale optimization: algorithm design and analysis";"5";36000;2013
"Fung, Benjamin BCM";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Privacy-Preserving Data Sharing for Health Data Mining";"5";30000;2013
"Gagne, Caroline C";"Sciences economiques et administratives DSEA";"Quebec a Chicoutimi";"RGPIN";"Optimization-based decision support systems for multiobjective decision making";"5";20000;2013
"Ganesh, Vijay V";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Next-generation Constraint Solvers for Software Engineering and Security";"5";25000;2013
"Gasevic, Dragan D";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Learning Analytics for Adaptive Systems supporting Self-regulated Social Learning";"5";15000;2013
"Ghaderi Dehkordi, Majid M";"Computer Science";"Calgary";"RGPIN";"Exploiting Interference in Wireless Networks: Protocol Design, Analysis and Implementation";"5";20000;2013
"Giesbrecht, Mark MW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"High Performance Algorithms for Sparse and Structured Symbolic Computations";"5";36000;2013
"Glasser, Uwe UP";"Computing Science, School of";"Simon Fraser";"RGPIN";"Situation Analysis Decision Support Systems Design";"5";30000;2013
"Godfrey, Michael MW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Investigating software artifact provenance";"5";20000;2013
"Golab, Wojciech W";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Harnessing the power of next-generation shared memory multiprocessors";"5";25000;2013
"Gromala, Diane DJ";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"VR Systems for Body Image and Body Schema";"5";25000;2013
"Gryz, Jaroslaw J";"Computer Science and Engineering";"York";"RGPIN";"Order Dependencies in Database Systems";"5";36000;2013
"Haarslev, Volker M";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Design of optimization techniques and software architectures for description logic reasoners";"5";30000;2013
"Hassanein, Khaled KS";"Business, DeGroote School of";"McMaster";"RGPIN";"Customized Decision Support for Older Adults in eCommerce Environments";"5";25000;2013
"Hatala, Marek M";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Model and Methods for Determining Effectiveness of Open Learner Models";"5";20000;2013
"Hayden, Patrick PM";"Computer Science, School of";"McGill";"RGPIN";"Computing the spectrum: Information physics from cryptography to cosmology";"5";62000;2013
"Haynes, Ronald RD";"Mathematics and Statistics";"Memorial Univ. of Nfld";"RGPIN";"Parallel Space-Time Approaches for the Numerical Solution of Partial Differential Equations";"5";30000;2013
"Head, Milena MM";"Business, DeGroote School of";"McMaster";"RGPIN";"Designing and Evaluating Engaging Interfaces for Educational Games";"5";15000;2013
"Hunter, Aaron AM";"Computing and Academic Studies, School of";"BC Institute of Technology";"RGPIN";"Knowledge Representation for Vehicle to Grid Systems: Power Monitoring, Storage and Trade";"5";15000;2013
"Irani, Pourang P";"Computer Science";"Manitoba";"RGPIN";"Transforming Ultra-Portable Devices into Information-Rich Appliances";"5";30000;2013
"Jaseemuddin, Muhammad M";"Electrical and Computer Engineering";"Ryerson";"RGPIN";"Connectivity, Resource Management and Application-enabling Infrastructure for Networking of Smart Mobile Devices";"5";15000;2013
"Jiang, Hui H";"Computer Science and Engineering";"York";"RGPIN";"Large-Scale Discriminative Modelling for Data-Intensive Speech and Language Processing";"5";25000;2013
"Jodoin, Pierre-Marc PM";"Informatique";"Sherbrooke";"RGPIN";"Analyse de contenu et detection d'anomalies pour des applications en surveillance video et imagerie medicale.";"5";20000;2013
"Jurisica, Igor I";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Developing novel heuristic methods for integrative computational biology";"5";44000;2013
"Kadoury, Samuel S";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Topologically invariant manifold learning for medical imaging";"5";20000;2013
"Karsten, Martin M";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Simplifying the Software Infrastructure of Computer and Communication Systems";"5";20000;2013
"Kelly, Jonathan JS";"Aerospace Studies, Institute for";"Toronto";"RGPIN";"Continuous Self-Calibration for Lifelong Autonomy";"5";20000;2013
"Keselj, Vlado V";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"String-based and Unification-based Methodology for Text mining and Processing";"5";20000;2013
"Khoury, Richard RE";"Software Engineering, Dept. of";"Lakehead";"RGPIN";"Microtext Processing";"5";15000;2013
"Kiczales, Gregor J";"Computer Science";"British Columbia";"RGPIN";"Lightweight Language Abstractions";"5";30000;2013
"Kienzle, Jorg JA";"Computer Science, School of";"McGill";"RGPIN";"Concern-Driven Software Development";"5";36000;2013
"Krishnamurthy, Diwakar D";"Electrical and Computer Engineering";"Calgary";"RGPIN";"Performance evaluation and management of enterprise application systems";"5";20000;2013
"Kry, Paul PG";"Computer Science, School of";"McGill";"RGPIN";"Physically Based Character Animation, Editing, Control, Deformation, and Contact";"5";36000;2013
"Kumar, Vivekanandan S";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Self- and Co-Regulating Anthropomorphic Pedagogical Agents";"5";15000;2013
"Lam, Patrick P";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Combining domain-specific and general-purpose languages to improve program analysis";"5";20000;2013
"Lang, Jochen J";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Computational Photography for Capturing Virtual Environments";"5";15000;2013
"Larson, Katherine KS";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Strategic Interactions in Multiagent Systems";"5";30000;2013
"L'ECUYER, Pierre P";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Modeling and Simulation of Stochastic Systems";"5";52000;2013
"Levesque, Hector HJ";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Representation and reasoning for autonomous agents";"5";36000;2013
"Levine, Martin D";"Electrical and Computer Engineering";"McGill";"RGPIN";"Here's looking at you! Describing Spatio-Temporal Human Events";"5";25000;2013
"Li, Kin KF";"Electrical and Computer Engineering";"Victoria";"RGPIN";"Infrastructures, methods, and tools for mining and analyzing personal behavior for innovative recommender and learning systems using hardware accelerators";"5";20000;2013
"Lie, David DJ";"Electrical & Computer Engineering";"Toronto";"RGPIN";"An Information Flow Approach to Data Security";"5";30000;2013
"Lingras, Pawan PJ";"Mathematics and Computing Science";"Saint Mary's";"RGPIN";"Recursive and iterative clustering in granular hierarchical, network, and temporal datasets";"5";20000;2013
"Litoiu, Marin M";"Information Technology, School of";"York";"RGPIN";"Adaptive Mechanisms for Large Scale Software Systems";"5";25000;2013
"Little, James J";"Computer Science";"British Columbia";"RGPIN";"Places and Activities: Video and Robots";"5";36000;2013
"Logrippo, Luigi L";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Data Protection in Organization Workflows and Service Oriented Architectures";"5";25000;2013
"Lucet, Yves YPL";"Okanagan - Computer Science, Mathematics, Physics and Statistics";"British Columbia";"RGPIN";"Computer-Aided Nonsmooth Analysis and Applications";"5";20000;2013
"Lyons, Kelly A";"Information, Faculty of";"Toronto";"RGPIN";"Interaction Systems for Smarter Service Engagements";"5";15000;2013
"MacCaull, Wendy WA";"Mathematics, Statistics and Computing Sciences";"St. Francis Xavier";"RGPIN";"Ontology-driven and adaptive workflow in distributed settings";"5";20000;2013
"MacLean, Karon KE";"Computer Science";"British Columbia";"RGPIN";"Foundations and Applications of Affective Touch";"5";36000;2013
"Madhavji, Nazim NH";"Computer Science";"Western Ontario";"RGPIN";"A Program of Research in Requirements Engineering";"5";20000;2013
"Majumdar, Shikharesh S";"Systems and Computer Engineering";"Carleton";"RGPIN";"High Performance Parallel and Distributed Systems: Resource Management and Middleware";"5";25000;2013
"Mandryk, Regan L";"Computer Science";"Saskatchewan";"RGPIN";"Modeling emotion unobtrusively in interactive digital systems";"5";36000;2013
"Martin, Patrick TP";"Computing, School of";"Queen's";"RGPIN";"QoS-Aware Management of Cloud Applications";"5";20000;2013
"Matrawy, Ashraf AAA";"Information Technology, School of";"Carleton";"RGPIN";"Security in mobile environments";"5";20000;2013
"Maurer, Frank FO";"Computer Science";"Calgary";"RGPIN";"Software Processes for Small Teams Developing Scalable Applications in the Cloud";"5";25000;2013
"McGuffin, Michael MJ";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Multipoint Input Techniques for Information Visualization";"5";30000;2013
"McIlraith, Sheila SA";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Software, Devices, Data, and People: Working together in the wired world";"5";52000;2013
"Memisevic, Roland F";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Learning to represent images and their relations";"5";20000;2013
"Menelas, Bob-Antoine Jerry BJ";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Exploitation d'interactions 3d multimodales pour remplacer ou renforcer un retour visuel dans un environnement d'utilisation non-controle.";"5";20000;2013
"Miller, Renee RJM";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Big Data Curation";"5";44000;2013
"Miri, Ali SA";"Computer Science";"Ryerson";"RGPIN";"Security and Privacy in the Cloud";"5";25000;2013
"MISSAOUI, Rokia R";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Social Network Analysis and Mining";"5";20000;2013
"Mohar, Bojan B";"Mathematics";"Simon Fraser";"RGPIN";"Algebraic and Topological Methods in Graph Theory";"5";75000;2013
"Moreno Maza, Marc M";"Computer Science";"Western Ontario";"RGPIN";"Hardware Acceleration Technologies Enabling Polynomial System Solving";"5";20000;2013
"Morin, Patrick R";"Computer Science, School of";"Carleton";"RGPIN";"Geometric Data Structures";"5";36000;2013
"Mudur, Sudhir Pandurang SP";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Augmenting 3D Modeling and Animation Techniques Using Large Sensed Data";"5";15000;2013
"Mullins, John J";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Methodes formelles d'analyse quantitative de la securite de l'information partiellement observable dans les systemes ouverts";"5";15000;2013
"Nayak, Amiya A";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Algorithms for fault tolerance in emerging smart power grids";"5";25000;2013
"Ngatched Nkouatchah, Telex Magloire TM";"Grenfell Campus";"Memorial Univ. of Nfld";"RGPIN";"Queuing Analysis of Opportunistic Access in Multichannel Cognitive Radios";"1";20000;2013
"Nguyen, Uyen Trang UTH";"Computer Science and Engineering";"York";"RGPIN";"Network Coding Based Multicast in Multi-channel Multi-radio Wireless Mesh Networks";"5";15000;2013
"Nie, Jian-Yun JY";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Search intelligence as users expect";"5";44000;2013
"Niu, Di D";"Electrical and Computer Engineering";"Alberta";"RGPIN";"Intelligent Internet-Scale Multimedia Storage and Delivery";"5";25000;2013
"Orchard, Jeff JJ";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Neural Computing with Oscillations";"5";15000;2013
"Ozell, Benoit B";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Environnement d'analyse et de communication des resultats numeriques en visualisation scientifique";"5";15000;2013
"Panario, Daniel D";"Mathematics and Statistics, School of";"Carleton";"RGPIN";"Computations in finite fields and probabilistic analysis of algorithms";"5";36000;2013
"Pazzi, Richard RW";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Social Network-based Data Dissemination in Vehicular Sensor Networks to Support Distributed Monitoring Services";"5";20000;2013
"Pelc, Andrzej A";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Distributed network algorithms";"5";44000;2013
"Peters, Joseph JG";"Computing Science, School of";"Simon Fraser";"RGPIN";"Modelling and Analysis of Dynamic Networks";"5";15000;2013
"Pierre, Samuel S";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Reseautique du futur";"5";36000;2013
"Poupart, Pascal P";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Lifelong Machine Learning and Sequential Decision Making for Natural Language Interfaces";"5";44000;2013
"Rafiei, Davood D";"Computing Science";"Alberta";"RGPIN";"Enabling queries on relational data on the Web";"5";30000;2013
"Rekleitis, Ioannis I";"Computer Science, School of";"McGill";"RGPIN";"Autonomous Exploration of Challenging Environments";"5";15000;2013
"Rigby, Peter PC";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions";"5";25000;2013
"Rokne, Jon JG";"Computer Science";"Calgary";"RGPIN";"Interval analysis, computer graphics algorithms and social networks";"5";15000;2013
"Rudzicz, Frank FR";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"A control-theoretic model of speech production and recognition for use within prosthetic communication devices";"5";20000;2013
"Saeedi, Parvaneh Akhtar P";"Engineering Science, School of";"Simon Fraser";"RGPIN";"Computer Vision for Infertility Treatment";"5";20000;2013
"Salavatipour, Mohammad Reza MR";"Computing Science";"Alberta";"RGPIN";"Approximation Algorithms and Hardness of Approximation for Optimization Problems";"5";44000;2013
"Salomaa, Kai KT";"Computing, School of";"Queen's";"RGPIN";"Automata with limited nondeterminism and applications of automata";"5";30000;2013
"Samaan, Nancy A";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Self-Management Mechanisms for Clouds Assisting Mobile Users";"5";20000;2013
"Santoro, Nicola N";"Computer Science, School of";"Carleton";"RGPIN";"Distributed Computing and Mobility";"5";44000;2013
"Sarkar, Anoop A";"Computing Science, School of";"Simon Fraser";"RGPIN";"Multilingual Statistical Machine Translation";"5";30000;2013
"Schneider, Kevin KA";"Computer Science";"Saskatchewan";"RGPIN";"Evolving Software Collaboratively";"5";15000;2013
"Schroeder, Bianca B";"Computer and Mathematical Sciences (Scarborough)";"Toronto";"RGPIN";"Reliable and energy-efficient next-generation data centres";"5";36000;2013
"Schulte, Oliver N";"Computing Science, School of";"Simon Fraser";"RGPIN";"Learning Bayes Nets for Relational Data and Heterogenous Networks";"5";20000;2013
"Schuurmans, Dale DE";"Computing Science";"Alberta";"RGPIN";"Learning Predictive Representations from Incomplete Data";"5";62000;2013
"Shallit, Jeffrey JO";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Avoidability and Decidability in Formal Languages and Automata";"5";36000;2013
"Sharlin, Ehud E";"Computer Science";"Calgary";"RGPIN";"Physicality in Human-Robot Interaction: Form, Movement, Proxemics and Touch";"5";15000;2013
"Shen, Weiming W";"Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Agent-Based Resilient and Secure Wireless Sensor Networks and Applications";"5";15000;2013
"Siddiqi, Kaleem K";"Computer Science, School of";"McGill";"RGPIN";"Minimal Surfaces in the Heart";"5";36000;2013
"Spiteri, Raymond J";"Computer Science";"Saskatchewan";"RGPIN";"Game-Changing Time Integration of Complex Systems for the Exaflop Era";"5";30000;2013
"Stavness, Ian IK";"Computer Science";"Saskatchewan";"RGPIN";"High-Fidelity Simulation of Human Muscles and Movement";"5";20000;2013
"St-Denis, Richard R";"Informatique";"Sherbrooke";"RGPIN";"A Theory of Discrete Event Systems as a Foundation for Component-Based Software Engineering/Une theorie des systemes a evenements discrets comme base a l'ingenierie du logiciel";"5";25000;2013
"Storjohann, Arne A";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Algorithms for the exact solution to problems in linear algebra";"5";30000;2013
"Suen, Ching CY";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Error Reduction in Handwriting Recognition with Applications";"5";25000;2013
"Taati, Babak B";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Vision-Based Evaluation of Mobility, Physical Health, and Rehabilitation Progress in Natural Settings";"5";20000;2013
"Taylor, Graham GW";"Engineering, School of";"Guelph";"RGPIN";"Deep Learning and Representation Learning for Sequential Data";"5";25000;2013
