"Name";"Department";"Institution";"Program";"Title";"Term";"amount";"a2"
"Mignotte, Max M";"Department Arts et des sciences, faculte des";"Montreal";"RGPIN";"Bayesian statistical fusion models based on constraints and multiple criteria in image processing and computer vision";"5";24000;24000
"Miller, James J";"Department Electrical and Computer Engineering";"Alberta";"RGPIN";"Engineering internet-centric software systems";"5";33000;33000
"Miller, Michael DM";"Department Computer Science";"Victoria";"RGPIN";"Synthesis and optimization of reversible and emerging technology circuits";"5";14000;14000
"Moha, Naouel N";"Department Informatique";"Quebec a Montreal";"RGPIN";"Antipattern-based approach for service oriented design and quality improvement";"5";20000;20000
"Monagan, Michael MB";"Department Mathematics";"Simon Fraser";"EQPEQ";"Main computer for computer algebra group at Simon Fraser";"1";9000;9000
"Mori, Gregory GP";"Department Computing Science";"Simon Fraser";"RGPIN";"Recognizing human figures and actions";"5";42000;42000
"Moura, Lucia L";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Combinatorial and algorithmic aspects of covering arrays for software and network testing";"5";24000;24000
"Muller, Hausi HA";"Department Computer Science";"Victoria";"RGPIN";"Design and evolution of highly adaptive software systems: Context, control and run-time validation";"5";33000;33000
"Nascimento, Mario MA";"Department Computing Science";"Alberta";"RGPIN";"Exploring context in spatio-temporal data";"5";29000;29000
"Neustaedter, Carman CG";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Supporting awareness and interaction through domestic media spaces";"5";20000;20000
"Neville, Stephen SW";"Department Electrical and Computer Engineering";"Victoria";"RGPIN";"Component-level virtual machines: A paradigm for achieving controllability in cloud-deployed dynamic distributed systems";"5";14000;14000
"Ngom, Alioune A";"Department Computer Science, School of";"Windsor";"RGPIN";"High-order/variable-order dynamic Bayesian networks and dynamic qualitative probabilistic networks --- new models of gene regulatory networks";"5";14000;14000
"Nickerson, Bradford BG";"Department Computer Science, Faculty of";"New Brunswick";"RGPIN";"Spatial data structures";"5";20000;20000
"Osgood, Nathaniel ND";"Department Computer Science";"Saskatchewan";"RGPIN";"Stocking Hygeia's toolbox: methodological innovation in support of computational epidemiology";"5";14000;14000
"Pan, Jianping J";"Department Computer Science";"Victoria";"RGPIN";"Protocol design and performance evaluation for network science and engineering";"5";24000;24000
"Paquet, Joey J";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Context-awareness and demand-driven evaluation in heterogeneous distributed systems";"5";20000;20000
"Pei, Jian J";"Department Computing Science";"Simon Fraser";"RGPIN";"Towards context-aware data mining";"5";49000;49000
"Peña Castillo, Lourdes MDL";"Department Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Discovering gene regulatory networks through combination of diverse large-scale biological evidence";"5";14000;14000
"Poole, David DL";"Department Computer Science";"British Columbia";"RGPIN";"Large scale reasoning under uncertainty";"5";29000;29000
"Popowich, Frederick FP";"Department Computing Science";"Simon Fraser";"RGPIN";"Acceleration of real time natural language processing";"5";24000;24000
"Pottinger, Rachel RA";"Department Computer Science";"British Columbia";"RGPIN";"Improving schema understandability for semantic integration";"5";24000;24000
"Qiu, Ke K";"Department Computer Science";"Brock";"RGPIN";"Parallel computing on interconnection networks and for sequence analysis";"5";18000;18000
"Quimper, Claude-Guy C-G";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"Scheduling using constraint programming";"5";24000;24000
"Rackoff, Charles CW";"Department Mathematical and Computational Sciences (Mississauga)";"Toronto";"RGPIN";"Topics in cryptography and computational complexity";"5";33000;33000
"Robillard, Martin MP";"Department Computer Science, School of";"McGill";"RGPIN";"Automated support for framework documentation";"5";29000;29000
"Ross, Brian BJ";"Department Computer Science";"Brock";"RGPIN";"Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design";"5";14000;14000
"Ruppert, Eric EO";"Department Computer Science and Engineering";"York";"RGPIN";"Algorithms and models for distributed systems";"5";24000;24000
"Ruuth, Steven SJ";"Department Mathematics";"Simon Fraser";"RGPIN";"Algorithms for approximating continuum processes on surfaces";"5";33000;33000
"Sack, Jorg-Rudiger JRW";"Department Computer Science, School of";"Carleton";"RGPIN";"Algorithms design for motion problems: theory & practice";"5";24000;24000
"Sander, Jörg J";"Department Computing Science";"Alberta";"RGPIN";"Projected and semi-supervised clustering for high-dimensional data";"5";29000;29000
"Scott, Philip PJ";"Department Mathematics and Statistics";"Ottawa";"RGPIN";"Polarized logics, geometry of interaction, and the dynamics of resource sensitive computation";"5";29000;29000
"Seif El-Nasr, Magy MM";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"EQPEQ";"Adaptive 3D environments";"1";54045;54045
"Shaw, Christopher CD";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Highly interactive visual analytics systems";"5";24000;24000
"Singh, Karan K";"Department Computer Science";"Toronto";"RGPIN";"Sculpt and sketch interfaces for 3D modeling";"5";33000;33000
"Skillicorn, David DB";"Department Computing, School of";"Queen's";"RGPIN";"Adversarial knowledge discovery";"5";29000;29000
"Sodan, Angela ACC";"Department Computer Science, School of";"Windsor";"RGPIN";"Time- and space-adaptive parallel job sceduling for HPC servers, grids, and clouds";"5";24000;24000
"Sokolova, Marina ML";"Department Medicine, Faculty of";"Ottawa";"RGPIN";"Learning health information from user-generated Web content";"5";14000;14000
"Soltys-Kulinicz, Michael M";"Department Computing and Software";"McMaster";"RGPIN";"Proof complexity of matrix algebra";"5";24000;24000
"Stege, Ulrike U";"Department Computer Science";"Victoria";"RGPIN";"Computational problems & tractable algorithms: Bridging the gap between problem definitions and solutions";"5";24000;24000
"Stewart, Lorna LK";"Department Computing Science";"Alberta";"RGPIN";"Graph classes: Structure, algorithms, and complexity";"5";24000;24000
"Stinson, Douglas DR";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Cryptography and cryptographic protocols";"5";49000;49000
"Stuerzlinger, Wolfgang W";"Department Computer Science and Engineering";"York";"EQPEQ";"3D haptic workstation for research into 3D manipulation and sensorimotor integration";"1";115599;115599
"Stumm, Michael M";"Department Electrical and Computer Engineering, Edward S. Rogers Sr. ";"Toronto";"RGPIN";"System software performance monitoring and optimization";"5";29000;29000
"Szafron, Duane DA";"Department Computing Science";"Alberta";"RGPIN";"Using computer poker as a testbed for solving multiagent decision problems";"5";29000;29000
"Taha, Abd-Elhamid AM";"Department Computing, School of";"Queen's";"RGPIN";"Opportunistic frameworks for radio resource management";"5";20000;20000
"Talhi, Chamseddine C";"Department Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Security enforcement for resource-constrained systems";"5";14000;14000
"Ternovska, Eugenia EA";"Department Computing Science";"Simon Fraser";"RGPIN";"Model expansion as a framework for representing and solving search and optimization problems";"5";29000;29000
"Thomo, Alex AI";"Department Computer Science";"Victoria";"RGPIN";"Extracting intelligence from an interconnected world of data";"5";29000;29000
"Thorpe, Julie JK";"Department Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Improving computer security through the analysis of human factors";"2";20000;20000
"Thulasiraman, Parimala PS";"Department Computer Science";"Manitoba";"RGPIN";"Irregular computations on heterogeneous multi-core architectures";"5";14000;14000
"Tsotsos, John JK";"Department Computer Science and Engineering";"York";"RGPIN";"Re-visiting Ullman's visual routines";"5";60300;60300
"Turcotte, Marcel M";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Development of bioinformatics tools for RNomics research";"3";14000;14000
"Tzerpos, Vassilios V";"Department Computer Science and Engineering";"York";"RGPIN";"Software pattern detection";"5";24000;24000
"Urquhart, Alasdair AIF";"Department Computer Science";"Toronto";"RGPIN";"Logic and computational complexity";"5";29000;29000
"Vaikuntanathan, Vinod V";"Department Mathematical and Computational Sciences (Mississauga)";"Toronto";"RGPIN";"cryptography in highly adversarial enviroments";"5";29000;29000
"Vassilev, Tzvetalin TS";"Department Computer Science";"Nipissing";"RGPIN";"Optimization problems on geometric graphs";"5";14000;14000
"Vassileva, Julita JI";"Department Computer Science";"Saskatchewan";"RGPIN";"Designing social infrastructures encouraging behaviour change and participation through personalized incentives";"5";59243;59243
"Vidyasankar, Krishnamurthy K";"Department Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Atomicity and consistency issues in service composition and transactional memory";"5";20000;20000
"Von Bochmann, Gregor G";"Department Engineering, Faculty of";"Ottawa";"RGPIN";"Software development for distributed applications and scalable execution platforms";"5";29000;29000
"Wachowiak, Mark MP";"Department Arts and Science, Faculty of";"Nipissing";"RGPIN";"High-performance global optimization and signal processing on multicore, GPU, and hybrid architectures";"5";14000;14000
